시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,도로형태,가해운전자 차종,피해운전자 차종
서울특별시 관악구 신림동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,이륜,승용
서울특별시 송파구 석촌동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로부근,이륜,승용
서울특별시 구로구 개봉동,중상사고,0,1,0,0,차대사람 - 횡단중,교차로 - 교차로횡단보도내,승용,보행자
서울특별시 성북구 길음동,경상사고,0,0,2,0,차대차 - 추돌,단일로 - 기타,승용,승용
서울특별시 마포구 동교동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,승용
서울특별시 영등포구 신길동,경상사고,0,0,1,0,차대차 - 추돌,교차로 - 교차로안,승용,승용
서울특별시 영등포구 양평동4가,경상사고,0,0,1,1,차대차 - 측면충돌,교차로 - 교차로부근,이륜,승용
서울특별시 구로구 구로동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로부근,승용,이륜
서울특별시 구로구 개봉동,중상사고,0,1,0,0,차대사람 - 차도통행중,단일로 - 기타,승용,보행자
서울특별시 동대문구 전농동,경상사고,0,0,1,0,차대차 - 기타,기타 - 기타,화물,자전거
서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 추돌,단일로 - 기타,승용,승용
서울특별시 강남구 삼성동,경상사고,0,0,3,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 기타,교차로 - 교차로안,자전거,보행자
서울특별시 영등포구 문래동3가,경상사고,0,0,1,0,차대차 - 정면충돌,교차로 - 교차로안,승용,이륜
서울특별시 영등포구 신길동,경상사고,0,0,1,0,차대사람 - 횡단중,단일로 - 기타,승용,보행자
서울특별시 구로구 오류동,경상사고,0,0,1,0,차대사람 - 기타,교차로 - 교차로안,화물,보행자
서울특별시 중랑구 중화동,중상사고,0,1,0,0,차대차 - 정면충돌,단일로 - 기타,화물,이륜
서울특별시 도봉구 창동,중상사고,0,1,0,0,차대사람 - 횡단중,단일로 - 기타,승용,보행자
서울특별시 마포구 합정동,중상사고,0,2,0,0,차대차 - 측면충돌,단일로 - 기타,화물,승용
서울특별시 관악구 봉천동,경상사고,0,0,1,0,차대사람 - 기타,단일로 - 기타,승용,보행자
서울특별시 강동구 상일동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 성북구 하월곡동,중상사고,0,1,0,0,차대사람 - 횡단중,단일로 - 기타,화물,보행자
서울특별시 금천구 독산동,중상사고,0,1,0,0,차대차 - 기타,교차로 - 교차로안,자전거,승용
서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대차 - 추돌,교차로 - 교차로부근,승용,승용
서울특별시 강남구 대치동,경상사고,0,0,1,0,차대차 - 기타,기타 - 기타,이륜,이륜
서울특별시 강남구 일원동,중상사고,0,2,0,0,차대차 - 측면충돌,단일로 - 기타,특수,승용
서울특별시 영등포구 신길동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,자전거,승용
서울특별시 영등포구 영등포동1가,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,승용,승용
서울특별시 중랑구 상봉동,중상사고,0,1,0,0,차대차 - 추돌,단일로 - 기타,승용,승용
서울특별시 강동구 강일동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,화물,승용
서울특별시 송파구 잠실동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로 - 교차로부근,이륜,승용
서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로부근,승용,승용
서울특별시 도봉구 창동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승합,승용
서울특별시 강북구 번동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,원동기,원동기
서울특별시 금천구 가산동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 강동구 길동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,단일로 - 기타,승용,보행자
서울특별시 서대문구 홍제동,경상사고,0,0,2,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 중랑구 망우동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승합,승합
서울특별시 중랑구 면목동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 강남구 신사동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,승용
서울특별시 강남구 일원동,경상사고,0,0,1,0,차대차 - 추돌,단일로 - 기타,승용,승용
서울특별시 영등포구 당산동6가,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,승합
서울특별시 동작구 사당동,경상사고,0,0,1,0,차대사람 - 기타,단일로 - 기타,승용,보행자
서울특별시 강남구 청담동,경상사고,0,0,1,2,차대차 - 추돌,단일로 - 기타,화물,승용
서울특별시 강동구 천호동,경상사고,0,0,2,0,차대차 - 기타,단일로 - 기타,승용,승용
서울특별시 성북구 석관동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,자전거,이륜
서울특별시 서초구 양재동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로부근,화물,승용
서울특별시 노원구 월계동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 성동구 성수동1가,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,승용,이륜
서울특별시 강남구 신사동,경상사고,0,0,2,0,차대차 - 기타,교차로 - 교차로부근,승용,승합
서울특별시 강동구 성내동,중상사고,0,1,0,0,차대사람 - 기타,단일로 - 기타,이륜,보행자
서울특별시 양천구 신정동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,승합
서울특별시 노원구 하계동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로부근,승용,승합
서울특별시 중구 흥인동,중상사고,0,1,0,0,차대차 - 측면충돌,단일로 - 기타,원동기,원동기
서울특별시 중구 신당동,경상사고,0,0,1,0,차대차 - 추돌,단일로 - 기타,승용,승용
서울특별시 용산구 한남동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,원동기
서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승합,자전거
서울특별시 마포구 동교동,중상사고,0,1,0,0,차대사람 - 차도통행중,단일로 - 기타,승용,보행자
서울특별시 동작구 상도1동,경상사고,0,0,2,0,차대차 - 추돌,단일로 - 터널,승용,승용
서울특별시 관악구 봉천동,중상사고,0,1,1,0,차대차 - 추돌,단일로 - 기타,이륜,승용
서울특별시 도봉구 방학동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,승용,승용
서울특별시 서대문구 남가좌동,경상사고,0,0,2,0,차대차 - 추돌,단일로 - 기타,이륜,승용
서울특별시 영등포구 여의도동,경상사고,0,0,1,0,차대사람 - 기타,기타 - 기타,승용,보행자
서울특별시 은평구 역촌동,경상사고,0,0,4,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 서대문구 연희동,경상사고,0,0,1,0,차대사람 - 기타,단일로 - 기타,승합,보행자
